2026-08-11 16:12:25,628 [INFO] __main__: [319/1439] 300953.SZ: fetched=166, saved=120, filtered=44, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:25,978 [INFO] __main__: [320/1439] 300956.SZ: fetched=507, saved=504, filtered=1, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:29,372 [INFO] __main__: [321/1439] 300961.SZ: fetched=21, saved=21, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:30,333 [INFO] __main__: [322/1439] 300963.SZ: fetched=123, saved=123, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:30,468 [INFO] __main__: [323/1439] 300964.SZ: fetched=109, saved=108, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:30,623 [INFO] __main__: [324/1439] 300965.SZ: fetched=95, saved=95, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:31,734 [INFO] __main__: [325/1439] 300968.SZ: fetched=99, saved=99, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:31,928 [INFO] __main__: [326/1439] 300971.SZ: fetched=313, saved=179, filtered=133, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:32,577 [INFO] __main__: [327/1439] 300975.SZ: fetched=614, saved=608, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:33,274 [INFO] __main__: [328/1439] 300980.SZ: fetched=148, saved=148, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:34,390 [INFO] __main__: [329/1439] 300985.SZ: fetched=86, saved=84, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:37,528 [INFO] __main__: [330/1439] 300986.SZ: fetched=312, saved=308, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:37,641 [INFO] __main__: [331/1439] 300988.SZ: fetched=137, saved=127, filtered=10, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:37,720 [INFO] __main__: [332/1439] 300998.SZ: fetched=44, saved=43, filtered=1, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:38,800 [INFO] __main__: [333/1439] 301000.SZ: fetched=115, saved=115, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:40,021 [INFO] __main__: [334/1439] 301002.SZ: fetched=384, saved=379, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:43,653 [INFO] __main__: [335/1439] 301005.SZ: fetched=165, saved=107, filtered=57, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:45,835 [INFO] __main__: [336/1439] 301007.SZ: fetched=302, saved=88, filtered=214, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:46,261 [INFO] __main__: [337/1439] 301008.SZ: fetched=17, saved=15, filtered=2, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:49,208 [INFO] __main__: [338/1439] 301013.SZ: fetched=433, saved=428, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:50,172 [INFO] __main__: [339/1439] 301015.SZ: fetched=185, saved=185, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:50,316 [INFO] __main__: [340/1439] 301018.SZ: fetched=81, saved=71, filtered=10, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:50,510 [INFO] __main__: [341/1439] 301022.SZ: fetched=223, saved=223, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:51,627 [INFO] __main__: [342/1439] 301023.SZ: fetched=53, saved=16, filtered=37, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:53,138 [INFO] __main__: [343/1439] 301029.SZ: fetched=196, saved=195, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:53,217 [INFO] __main__: [344/1439] 301040.SZ: fetched=34, saved=34, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:53,633 [INFO] __main__: [345/1439] 301041.SZ: fetched=95, saved=93, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:53,830 [INFO] __main__: [346/1439] 301042.SZ: fetched=273, saved=271, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:53,937 [INFO] __main__: [347/1439] 301046.SZ: fetched=22, saved=22, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:54,614 [INFO] __main__: [348/1439] 301049.SZ: fetched=136, saved=136, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:57,873 [INFO] __main__: [349/1439] 301050.SZ: fetched=312, saved=259, filtered=49, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:59,469 [INFO] __main__: [350/1439] 301058.SZ: fetched=206, saved=205, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 18分
2026-08-11 16:12:59,756 [INFO] __main__: [351/1439] 301062.SZ: fetched=176, saved=175, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
2026-08-11 16:12:59,899 [INFO] __main__: [352/1439] 301067.SZ: fetched=93, saved=93, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 18分
