2026-08-11 16:22:19,690 [INFO] __main__: [365/795] 603810.SH: fetched=28, saved=28, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 6分
2026-08-11 16:22:19,787 [INFO] __main__: [366/795] 603825.SH: fetched=55, saved=47, filtered=8, err=0 | 进度: 72只/分, 预计剩余: 6分
2026-08-11 16:22:19,942 [INFO] __main__: [367/795] 603855.SH: fetched=20, saved=20, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 6分
2026-08-11 16:22:20,037 [INFO] __main__: [368/795] 603856.SH: fetched=35, saved=35, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 6分
2026-08-11 16:22:20,236 [INFO] __main__: [369/795] 603859.SH: fetched=73, saved=73, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 6分
2026-08-11 16:22:20,387 [INFO] __main__: [370/795] 603867.SH: fetched=118, saved=22, filtered=0, err=0 | 进度: 73只/分, 预计剩余: 6分
2026-08-11 16:22:20,626 [INFO] __main__: [371/795] 603876.SH: fetched=165, saved=55, filtered=5, err=0 | 进度: 73只/分, 预计剩余: 6分
2026-08-11 16:22:20,974 [INFO] __main__: [373/795] 603882.SH: fetched=424, saved=37, filtered=3, err=0 | 进度: 73只/分, 预计剩余: 6分
2026-08-11 16:22:21,226 [INFO] __main__: [374/795] 603890.SH: fetched=471, saved=111, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:21,492 [INFO] __main__: [375/795] 603893.SH: fetched=499, saved=112, filtered=1, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:21,562 [INFO] __main__: [376/795] 603895.SH: fetched=6, saved=6, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:21,627 [INFO] __main__: [377/795] 603897.SH: fetched=3, saved=3, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:21,684 [INFO] __main__: [378/795] 603901.SH: fetched=3, saved=3, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:22,587 [INFO] __main__: [379/795] 603906.SH: fetched=295, saved=142, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:22,661 [INFO] __main__: [380/795] 603915.SH: fetched=31, saved=24, filtered=7, err=0 | 进度: 75只/分, 预计剩余: 6分
2026-08-11 16:22:22,792 [INFO] __main__: [381/795] 603916.SH: fetched=81, saved=37, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 6分
2026-08-11 16:22:23,315 [INFO] __main__: [383/795] 603920.SH: fetched=735, saved=229, filtered=2, err=0 | 进度: 75只/分, 预计剩余: 6分
2026-08-11 16:22:23,427 [INFO] __main__: [384/795] 603926.SH: fetched=21, saved=21, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:23,622 [INFO] __main__: [385/795] 603928.SH: fetched=270, saved=42, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:23,743 [INFO] __main__: [386/795] 603933.SH: fetched=115, saved=20, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:26,851 [INFO] __main__: [387/795] 603936.SH: fetched=540, saved=215, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:27,311 [INFO] __main__: [388/795] 603937.SH: fetched=228, saved=18, filtered=132, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:27,421 [INFO] __main__: [389/795] 603949.SH: fetched=11, saved=11, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:27,850 [INFO] __main__: [390/795] 603955.SH: fetched=30, saved=29, filtered=1, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:32,029 [INFO] __main__: [391/795] 603956.SH: fetched=242, saved=44, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:32,122 [INFO] __main__: [392/795] 603958.SH: fetched=13, saved=13, filtered=0, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:32,764 [INFO] __main__: [393/795] 603959.SH: fetched=8, saved=8, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:33,389 [INFO] __main__: [394/795] 603960.SH: fetched=40, saved=40, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:34,372 [INFO] __main__: [395/795] 603966.SH: fetched=284, saved=44, filtered=239, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:34,927 [INFO] __main__: [396/795] 603977.SH: fetched=1000, saved=29, filtered=18, err=0 | 进度: 74只/分, 预计剩余: 5分
2026-08-11 16:22:35,157 [INFO] __main__: [397/795] 603978.SH: fetched=178, saved=49, filtered=129, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:35,427 [INFO] __main__: [398/795] 603986.SH: fetched=351, saved=84, filtered=3, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:36,150 [INFO] __main__: [399/795] 603989.SH: fetched=175, saved=167, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:36,245 [INFO] __main__: [400/795] 603990.SH: fetched=56, saved=56, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:36,316 [INFO] __main__: [401/795] 603991.SH: fetched=21, saved=21, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:36,396 [INFO] __main__: [402/795] 603992.SH: fetched=27, saved=21, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:37,277 [INFO] __main__: [403/795] 605001.SH: fetched=332, saved=53, filtered=1, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:37,409 [INFO] __main__: [404/795] 605018.SH: fetched=165, saved=15, filtered=149, err=0 | 进度: 76只/分, 预计剩余: 5分
2026-08-11 16:22:37,583 [INFO] __main__: [405/795] 605050.SH: fetched=19, saved=19, filtered=0, err=0 | 进度: 76只/分, 预计剩余: 5分
2026-08-11 16:22:37,923 [INFO] __main__: [406/795] 605055.SH: fetched=19, saved=19, filtered=0, err=0 | 进度: 76只/分, 预计剩余: 5分
2026-08-11 16:22:38,195 [WARNING] __main__: 605056.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
2026-08-11 16:22:41,040 [INFO] __main__: [407/795] 605056.SH: fetched=48, saved=48, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:41,112 [INFO] __main__: [408/795] 605058.SH: fetched=15, saved=15, filtered=0, err=0 | 进度: 75只/分, 预计剩余: 5分
2026-08-11 16:22:41,285 [INFO] __main__: [409/795] 605066.SH: fetched=217, saved=39, filtered=0, err=0 | 进度: 76只/分, 预计剩余: 5分
2026-08-11 16:22:41,342 [WARNING] __main__: 605068.SH 触发频率限制，等待 2s 后重试 (attempt 1/3)
