2026-08-11 16:14:34,749 [INFO] __main__: [484/1439] 301503.SZ: fetched=20, saved=20, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:36,025 [INFO] __main__: [485/1439] 301508.SZ: fetched=209, saved=187, filtered=21, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:36,391 [INFO] __main__: [486/1439] 301510.SZ: fetched=41, saved=41, filtered=0, err=0 | 进度: 66只/分, 预计剩余: 15分
2026-08-11 16:14:36,649 [INFO] __main__: [487/1439] 301511.SZ: fetched=371, saved=363, filtered=8, err=0 | 进度: 66只/分, 预计剩余: 14分
2026-08-11 16:14:43,483 [INFO] __main__: [488/1439] 301512.SZ: fetched=55, saved=54, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:44,770 [INFO] __main__: [489/1439] 301513.SZ: fetched=38, saved=38, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:47,320 [INFO] __main__: [490/1439] 301517.SZ: fetched=427, saved=390, filtered=37, err=0 | 进度: 64只/分, 预计剩余: 15分
2026-08-11 16:14:47,558 [INFO] __main__: [491/1439] 301522.SZ: fetched=300, saved=297, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:47,687 [INFO] __main__: [492/1439] 301525.SZ: fetched=144, saved=143, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:49,575 [INFO] __main__: [493/1439] 301528.SZ: fetched=208, saved=206, filtered=0, err=0 | 进度: 65只/分, 预计剩余: 15分
2026-08-11 16:14:51,274 [INFO] __main__: [494/1439] 301531.SZ: fetched=57, saved=56, filtered=0, err=0 | 进度: 64只/分, 预计剩余: 15分
2026-08-11 16:14:52,816 [INFO] __main__: [495/1439] 301536.SZ: fetched=270, saved=206, filtered=63, err=0 | 进度: 64只/分, 预计剩余: 15分
