2026-08-11 15:39:23,617 [INFO] __main__: [409/2280] 002565.SZ: fetched=193, saved=189, filtered=2, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:39:23,747 [INFO] __main__: [410/2280] 002573.SZ: fetched=102, saved=62, filtered=40, err=0 | 进度: 60只/分, 预计剩余: 31分
2026-08-11 15:39:31,342 [INFO] __main__: [411/2280] 002576.SZ: fetched=673, saved=530, filtered=131, err=0 | 进度: 59只/分, 预计剩余: 32分
2026-08-11 15:39:31,475 [INFO] __main__: [412/2280] 002577.SZ: fetched=14, saved=13, filtered=1, err=0 | 进度: 59只/分, 预计剩余: 32分
2026-08-11 15:39:31,733 [INFO] __main__: [413/2280] 002579.SZ: fetched=118, saved=118, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 32分
2026-08-11 15:39:41,346 [INFO] __main__: [414/2280] 002580.SZ: fetched=252, saved=155, filtered=94, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:42,266 [INFO] __main__: [415/2280] 002583.SZ: fetched=115, saved=88, filtered=27, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:42,431 [INFO] __main__: [416/2280] 002584.SZ: fetched=141, saved=136, filtered=5, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:43,495 [INFO] __main__: [417/2280] 002585.SZ: fetched=468, saved=312, filtered=155, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:43,729 [INFO] __main__: [418/2280] 002587.SZ: fetched=69, saved=64, filtered=4, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:43,837 [INFO] __main__: [419/2280] 002588.SZ: fetched=60, saved=60, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:44,278 [INFO] __main__: [420/2280] 002590.SZ: fetched=354, saved=348, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:44,614 [INFO] __main__: [421/2280] 002591.SZ: fetched=95, saved=72, filtered=13, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:44,768 [INFO] __main__: [422/2280] 002592.SZ: fetched=140, saved=110, filtered=30, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:45,168 [INFO] __main__: [423/2280] 002593.SZ: fetched=47, saved=47, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:47,538 [INFO] __main__: [424/2280] 002594.SZ: fetched=898, saved=777, filtered=111, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:47,719 [INFO] __main__: [425/2280] 002597.SZ: fetched=213, saved=195, filtered=16, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:48,856 [INFO] __main__: [426/2280] 002598.SZ: fetched=185, saved=88, filtered=95, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:49,317 [INFO] __main__: [427/2280] 002599.SZ: fetched=29, saved=23, filtered=6, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:51,322 [INFO] __main__: [428/2280] 002600.SZ: fetched=397, saved=395, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:52,880 [INFO] __main__: [429/2280] 002601.SZ: fetched=192, saved=113, filtered=78, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:53,919 [INFO] __main__: [430/2280] 002611.SZ: fetched=299, saved=292, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:54,915 [INFO] __main__: [431/2280] 002614.SZ: fetched=265, saved=187, filtered=71, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:55,408 [INFO] __main__: [432/2280] 002617.SZ: fetched=39, saved=39, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:57,212 [INFO] __main__: [433/2280] 002625.SZ: fetched=201, saved=199, filtered=1, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:58,221 [INFO] __main__: [434/2280] 002628.SZ: fetched=90, saved=60, filtered=30, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:39:58,550 [INFO] __main__: [435/2280] 002632.SZ: fetched=57, saved=56, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:00,721 [INFO] __main__: [436/2280] 002635.SZ: fetched=195, saved=110, filtered=85, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:01,857 [INFO] __main__: [437/2280] 002639.SZ: fetched=215, saved=214, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:03,889 [INFO] __main__: [438/2280] 002641.SZ: fetched=140, saved=71, filtered=67, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:05,275 [INFO] __main__: [439/2280] 002643.SZ: fetched=364, saved=326, filtered=38, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:06,314 [INFO] __main__: [440/2280] 002645.SZ: fetched=54, saved=54, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:07,882 [INFO] __main__: [441/2280] 002648.SZ: fetched=301, saved=296, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:07,962 [INFO] __main__: [442/2280] 002651.SZ: fetched=35, saved=34, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:08,362 [INFO] __main__: [443/2280] 002654.SZ: fetched=474, saved=471, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:10,136 [INFO] __main__: [444/2280] 002658.SZ: fetched=48, saved=37, filtered=11, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:10,234 [INFO] __main__: [445/2280] 002660.SZ: fetched=111, saved=39, filtered=71, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:11,036 [INFO] __main__: [446/2280] 002662.SZ: fetched=278, saved=228, filtered=49, err=0 | 进度: 58只/分, 预计剩余: 32分
2026-08-11 15:40:11,155 [INFO] __main__: [447/2280] 002664.SZ: fetched=103, saved=103, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 31分
2026-08-11 15:40:11,213 [INFO] __main__: [448/2280] 002667.SZ: fetched=13, saved=13, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 31分
2026-08-11 15:40:11,321 [INFO] __main__: [449/2280] 002669.SZ: fetched=74, saved=74, filtered=0, err=0 | 进度: 58只/分, 预计剩余: 31分
2026-08-11 15:40:11,419 [INFO] __main__: [450/2280] 002676.SZ: fetched=61, saved=60, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:11,569 [INFO] __main__: [451/2280] 002681.SZ: fetched=150, saved=117, filtered=32, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:11,942 [INFO] __main__: [452/2280] 002682.SZ: fetched=90, saved=88, filtered=1, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:12,596 [INFO] __main__: [453/2280] 002683.SZ: fetched=232, saved=123, filtered=108, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:12,760 [INFO] __main__: [454/2280] 002685.SZ: fetched=57, saved=56, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:12,898 [INFO] __main__: [455/2280] 002686.SZ: fetched=48, saved=47, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:13,050 [INFO] __main__: [456/2280] 002689.SZ: fetched=84, saved=83, filtered=1, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:13,268 [INFO] __main__: [457/2280] 002690.SZ: fetched=326, saved=128, filtered=198, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:13,613 [INFO] __main__: [458/2280] 002691.SZ: fetched=144, saved=33, filtered=111, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:13,747 [INFO] __main__: [459/2280] 002697.SZ: fetched=147, saved=62, filtered=85, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:15,477 [INFO] __main__: [460/2280] 002698.SZ: fetched=703, saved=529, filtered=171, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:16,653 [INFO] __main__: [461/2280] 002701.SZ: fetched=72, saved=62, filtered=10, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:20,318 [INFO] __main__: [462/2280] 002705.SZ: fetched=450, saved=293, filtered=157, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:20,483 [INFO] __main__: [463/2280] 002708.SZ: fetched=135, saved=123, filtered=12, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:21,844 [INFO] __main__: [464/2280] 002709.SZ: fetched=297, saved=296, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:22,900 [INFO] __main__: [465/2280] 002723.SZ: fetched=40, saved=40, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:23,948 [INFO] __main__: [466/2280] 002724.SZ: fetched=62, saved=49, filtered=13, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:24,069 [INFO] __main__: [467/2280] 002730.SZ: fetched=170, saved=40, filtered=130, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:27,054 [INFO] __main__: [468/2280] 002731.SZ: fetched=910, saved=899, filtered=1, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:28,098 [INFO] __main__: [469/2280] 002733.SZ: fetched=148, saved=115, filtered=30, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:28,531 [INFO] __main__: [470/2280] 002734.SZ: fetched=204, saved=204, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:29,858 [INFO] __main__: [471/2280] 002735.SZ: fetched=97, saved=93, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:31,724 [INFO] __main__: [472/2280] 002738.SZ: fetched=244, saved=211, filtered=31, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:34,021 [INFO] __main__: [473/2280] 002741.SZ: fetched=562, saved=517, filtered=42, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:34,297 [INFO] __main__: [474/2280] 002745.SZ: fetched=67, saved=65, filtered=1, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:34,717 [INFO] __main__: [475/2280] 002747.SZ: fetched=117, saved=108, filtered=8, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:34,904 [INFO] __main__: [476/2280] 002748.SZ: fetched=49, saved=48, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 31分
2026-08-11 15:40:34,994 [INFO] __main__: [477/2280] 002753.SZ: fetched=34, saved=23, filtered=11, err=0 | 进度: 59只/分, 预计剩余: 30分
2026-08-11 15:40:35,176 [INFO] __main__: [478/2280] 002756.SZ: fetched=220, saved=189, filtered=31, err=0 | 进度: 59只/分, 预计剩余: 30分
2026-08-11 15:40:35,663 [INFO] __main__: [479/2280] 002757.SZ: fetched=122, saved=119, filtered=0, err=0 | 进度: 59只/分, 预计剩余: 30分
2026-08-11 15:40:35,898 [INFO] __main__: [480/2280] 002759.SZ: fetched=241, saved=160, filtered=81, err=0 | 进度: 59只/分, 预计剩余: 30分
2026-08-11 15:40:35,981 [INFO] __main__: [481/2280] 002760.SZ: fetched=21, saved=17, filtered=4, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,136 [INFO] __main__: [482/2280] 002765.SZ: fetched=113, saved=105, filtered=8, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,257 [INFO] __main__: [483/2280] 002767.SZ: fetched=319, saved=28, filtered=291, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,347 [INFO] __main__: [484/2280] 002768.SZ: fetched=45, saved=45, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,435 [INFO] __main__: [485/2280] 002771.SZ: fetched=27, saved=25, filtered=2, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,618 [INFO] __main__: [486/2280] 002777.SZ: fetched=91, saved=89, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,720 [INFO] __main__: [487/2280] 002779.SZ: fetched=50, saved=50, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:36,981 [INFO] __main__: [488/2280] 002782.SZ: fetched=67, saved=60, filtered=6, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:37,270 [INFO] __main__: [489/2280] 002783.SZ: fetched=113, saved=111, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:37,702 [INFO] __main__: [490/2280] 002785.SZ: fetched=86, saved=85, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:38,306 [INFO] __main__: [491/2280] 002786.SZ: fetched=153, saved=144, filtered=5, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:45,939 [INFO] __main__: [492/2280] 002787.SZ: fetched=31, saved=27, filtered=4, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:46,098 [INFO] __main__: [493/2280] 002792.SZ: fetched=25, saved=25, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:46,211 [INFO] __main__: [494/2280] 002796.SZ: fetched=12, saved=9, filtered=3, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:46,954 [INFO] __main__: [495/2280] 002801.SZ: fetched=128, saved=84, filtered=42, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:47,884 [INFO] __main__: [496/2280] 002805.SZ: fetched=135, saved=130, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:48,592 [INFO] __main__: [497/2280] 002810.SZ: fetched=22, saved=17, filtered=4, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:50,411 [INFO] __main__: [498/2280] 002812.SZ: fetched=175, saved=172, filtered=2, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:51,471 [INFO] __main__: [499/2280] 002813.SZ: fetched=82, saved=81, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:55,160 [INFO] __main__: [500/2280] 002815.SZ: fetched=509, saved=394, filtered=114, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:55,320 [INFO] __main__: [501/2280] 002816.SZ: fetched=212, saved=95, filtered=117, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:56,398 [INFO] __main__: [502/2280] 002818.SZ: fetched=105, saved=105, filtered=0, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:57,001 [INFO] __main__: [503/2280] 002819.SZ: fetched=204, saved=200, filtered=3, err=0 | 进度: 60只/分, 预计剩余: 30分
2026-08-11 15:40:57,640 [INFO] __main__: [504/2280] 002823.SZ: fetched=100, saved=44, filtered=55, err=0 | 进度: 60只/分, 预计剩余: 30分

Process running. session_id: eaa081824031
Elapsed: 509.0s
Wait target not observed: '回补完成!'
