2026-08-11 16:20:18,496 [INFO] __main__: [211/795] 603121.SH: fetched=29, saved=29, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:18,621 [INFO] __main__: [212/795] 603124.SH: fetched=55, saved=55, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:18,787 [INFO] __main__: [213/795] 603131.SH: fetched=24, saved=24, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:18,978 [INFO] __main__: [214/795] 603135.SH: fetched=46, saved=29, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:19,888 [INFO] __main__: [215/795] 603150.SH: fetched=46, saved=46, filtered=0, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:20,103 [INFO] __main__: [216/795] 603155.SH: fetched=59, saved=51, filtered=8, err=0 | 进度: 70只/分, 预计剩余: 8分
2026-08-11 16:20:20,420 [INFO] __main__: [217/795] 603160.SH: fetched=510, saved=154, filtered=5, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:20,947 [INFO] __main__: [218/795] 603166.SH: fetched=217, saved=66, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:21,208 [INFO] __main__: [219/795] 603169.SH: fetched=484, saved=36, filtered=1, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:21,356 [INFO] __main__: [220/795] 603175.SH: fetched=115, saved=113, filtered=2, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:22,812 [INFO] __main__: [221/795] 603178.SH: fetched=32, saved=32, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:24,045 [INFO] __main__: [223/795] 603183.SH: fetched=4, saved=4, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:25,214 [INFO] __main__: [224/795] 603186.SH: fetched=202, saved=178, filtered=24, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:25,297 [INFO] __main__: [225/795] 603190.SH: fetched=41, saved=41, filtered=0, err=0 | 进度: 71只/分, 预计剩余: 8分
2026-08-11 16:20:25,531 [INFO] __main__: [226/795] 603194.SH: fetched=210, saved=87, filtered=0, err=0 | 进度: 72只/分, 预计剩余: 8分
2026-08-11 16:20:32,851 [INFO] __main__: [227/795] 603196.SH: fetched=27, saved=7, filtered=3, err=0 | 进度: 69只/分, 预计剩余: 8分
2026-08-11 16:20:34,439 [INFO] __main__: [228/795] 603197.SH: fetched=196, saved=196, filtered=0, err=0 | 进度: 69只/分, 预计剩余: 8分
