2026-08-11 16:08:23,923 [INFO] __main__: [70/1439] 300435.SZ: fetched=183, saved=160, filtered=23, err=0 | 进度: 58只/分, 预计剩余: 23分
2026-08-11 16:08:24,047 [INFO] __main__: [71/1439] 300438.SZ: fetched=127, saved=50, filtered=77, err=0 | 进度: 59只/分, 预计剩余: 23分
2026-08-11 16:08:24,119 [INFO] __main__: [72/1439] 300440.SZ: fetched=21, saved=15, filtered=6, err=0 | 进度: 59只/分, 预计剩余: 23分
2026-08-11 16:08:24,264 [INFO] __main__: [73/1439] 300441.SZ: fetched=118, saved=95, filtered=21, err=0 | 进度: 60只/分, 预计剩余: 23分
2026-08-11 16:08:24,361 [INFO] __main__: [74/1439] 300442.SZ: fetched=67, saved=65, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:25,533 [INFO] __main__: [75/1439] 300443.SZ: fetched=157, saved=157, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:26,323 [INFO] __main__: [76/1439] 300444.SZ: fetched=54, saved=51, filtered=3, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:27,604 [INFO] __main__: [77/1439] 300445.SZ: fetched=262, saved=226, filtered=36, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:29,104 [INFO] __main__: [78/1439] 300446.SZ: fetched=271, saved=237, filtered=28, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:30,073 [INFO] __main__: [79/1439] 300447.SZ: fetched=232, saved=198, filtered=33, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:30,180 [INFO] __main__: [80/1439] 300449.SZ: fetched=93, saved=92, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:30,365 [INFO] __main__: [81/1439] 300450.SZ: fetched=147, saved=146, filtered=1, err=0 | 进度: 62只/分, 预计剩余: 22分
2026-08-11 16:08:31,333 [INFO] __main__: [82/1439] 300454.SZ: fetched=59, saved=59, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:32,899 [INFO] __main__: [83/1439] 300455.SZ: fetched=488, saved=485, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:34,440 [INFO] __main__: [84/1439] 300456.SZ: fetched=498, saved=471, filtered=24, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:34,539 [INFO] __main__: [85/1439] 300457.SZ: fetched=54, saved=45, filtered=9, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:35,875 [INFO] __main__: [86/1439] 300458.SZ: fetched=282, saved=281, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:37,752 [INFO] __main__: [87/1439] 300459.SZ: fetched=150, saved=138, filtered=12, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:38,317 [INFO] __main__: [88/1439] 300460.SZ: fetched=118, saved=118, filtered=0, err=0 | 进度: 61只/分, 预计剩余: 22分
2026-08-11 16:08:40,893 [INFO] __main__: [89/1439] 300463.SZ: fetched=351, saved=323, filtered=7, err=0 | 进度: 60只/分, 预计剩余: 22分
